identifier,path,gcp_file_id,folder_name,author_subject,type,Years,gcp_folder_id,file_name,ocr_writen_on,ocr_writen_by,ocr_main_content,ocr_additional_content,ocr_writen_on_coords,ocr_writen_by_coords,ocr_main_content_coords,ocr_additional_content_coords,paragraphs_detection_successes,ocr_all_text_preprocess,ocr_all_text_no_preprocess,ocr_main_content_all_text_preprocess,ocr_main_content_all_text_no_preprocess,years,gcp_image_link,gcp_folder_link,is_handwritten
IDGNAZIM000154,"\CD00085 גורי, חיים - גורי, חיים\2127.tif",1Ext-CGou9kR1a0nC7TmHyR-CQ5jAT9Hv,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2127.tif,"גורי, חיים",==,"ושה סירים רשוסים על-פי הזכרוןלכ 5 ב 2 -או)צימשא, גליון 50-49, תשי""ג, עם' 4בת + 2","גורי, חיים
==
","896,28 1181,28 896,117 1181,117","896,28 1181,28 896,117 1181,117","4,157 1274,157 4,427 1274,427","896,28 1181,28 896,117 1181,117",TRUE,"גורי, חיים לושה שירים רשוסים על-פי הזכרון 2 (-6 ריד הצאיקר -4) כן-.292 ,+30 2-.]. - אוגד' משא, גליון 50-49, תשי""ג, עם' 4 גי בת + 2 ","גורי, חיים | שלורסה שירים רשומים על-פי הזכרון ( 605 9 ה 554% ב ]0 ,ו ]= משא, גליון 50-49, תשי""ב, עמ* 4 ""ולי .43 ","ים על-פי הזכרון 2 (-6 ריד הצאיקר -4) כן-.292 ,+30 2-.]. - אוגד' משא, גליון 50-49, תשי""ג, עם' 4 גי בת + 2 ","רשומים על-פי הזכרון ( 605 9 ה 554% ב ]0 ,ו ]= משא, גליון 50-49, תשי""ב, עמ* 4 ""ולי .43 ",,https://drive.google.com/file/d/1Ext-CGou9kR1a0nC7TmHyR-CQ5jAT9Hv,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000155,"\CD00085 גורי, חיים - גורי, חיים\2102.tif",19w88LkVMYBfZQWl-52pdnq-j_d2tHSrZ,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2102.tif,"גורי, חיי",2-Feb,הסכן סלי...( חתופ חגי |,"גורי, חיי
2-2
","877,112 1158,112 877,176 1158,176","877,112 1158,112 877,176 1158,176","542,374 921,374 542,532 921,532","877,112 1158,112 877,176 1158,176",TRUE,"י גור , תיים הסכן סלי... (מה אוסרים?) חתום חהגי לפמרחב, 14.8.1956, עס' 2 ","גורי, חיים הסכן שלי... (מה אומרים?) חתום חגי למרחב, 14.8.1956, עמ' 8 ","מה אוסרים?) חתום חהגי לפמרחב, 14.8.1956, עס' 2 "," אומרים?) חתום חגי למרחב, 14.8.1956, עמ' 8 ",,https://drive.google.com/file/d/19w88LkVMYBfZQWl-52pdnq-j_d2tHSrZ,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000156,"\CD00085 גורי, חיים - גורי, חיים\2115.tif",167mFVGtXzjREnByEndEUDu6kULhDjfz1,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2115.tif,גורי חיים,ו,"אהרונות, גבב3ה-דספרבורה,כ""ס המוז השל""> -ש (19.7.74),עם.","השל""ר,
,עם. 11
","871,73 1118,73 871,122 1118,122","871,73 1118,73 871,122 1118,122","167,527 952,527 167,615 952,615","95,526 263,526 95,612 263,612",TRUE,"שלוש איגרות ( מאמר ) יריעוה אהרונות, הבב3ה-דספברה,כ""ס המוז השל""ר, 9 (19.7.74),ע0. 11 ","גררי, חיים . שלרש איגרות (( מאמר "" ידיעות אתררנרת,פבברה-רספברת, כ""ט המרז תשל""ד, (19.7.74),עם. 11 ","וה אהרונות, הבב3ה-דספברה,כ""ס המוז השל""ר, 9 (19.7.74),ע0. 11 ","(( מאמר "" ידיעות אתררנרת,פבברה-רספברת, כ""ט המרז תשל""ד, (19.7.74),עם. 11 ",,https://drive.google.com/file/d/167mFVGtXzjREnByEndEUDu6kULhDjfz1,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000157,"\CD00085 גורי, חיים - גורי, חיים\2116.tif",10aqyE5UvWeMLbBGhA_ZiVA6aIIV9IeXJ,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2116.tif,,,"דבר לילדים,כיך כו,","סל"" עונות
רשייר
",,,"323,620 1241,620 323,837 1241,837","480,354 748,354 480,497 748,497",FALSE,"דבר לילדים, כיך כו, סל"" עונות רשי ","גורר, תוים סלט עונות פיט דבר לילדים, כרך כו, חוב"" 50, 4.4,56, עמ. 5 ",,,,https://drive.google.com/file/d/10aqyE5UvWeMLbBGhA_ZiVA6aIIV9IeXJ,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000158,"\CD00085 גורי, חיים - גורי, חיים\2106.tif",1WBY_2i5RyPKSyqWHIjllXnQb66FhWdU6,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2106.tif,"גורי, חייסם",1,"שלגי אשתקר ופצעים נוסנים,- השיר ץעל אסיר פראג","יבר, יג חמוז תש""ם,(27.6.80), עמ"" 16
","747,39 983,39 747,104 983,104","747,39 983,39 747,104 983,104","48,217 977,217 48,281 977,281","232,465 973,465 232,535 973,535",TRUE,"גורי, חייט שלגי אשתקר ופצעים נוסנים,- השיר ץעל אסיר פראג יבר, יג חמוז תש""ם,(27.6.80), עמ"" 16 ","גורי, חיים שלגי אשתקד ופצעיט נושנים.- השיר על אסיר פראב דבר, יג תמוז תש""ם,(27.6.80), עמ"" 16 ","סיר פראג יבר, יג חמוז תש""ם,(27.6.80), עמ"" 16 ","יר פראב דבר, יג תמוז תש""ם,(27.6.80), עמ"" 16 ",,https://drive.google.com/file/d/1WBY_2i5RyPKSyqWHIjllXnQb66FhWdU6,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000159,"\CD00085 גורי, חיים - גורי, חיים\2100.tif",1NTJiYyih4Z7a8vqjSndJrDXWKO8edRko,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2100.tif,א כ,,\ תק יא |,"]0 ן תעש
","827,248 979,248 827,349 979,349",,"129,483 495,483 129,609 495,609","398,11 1274,11 398,159 1274,159",TRUE,]0 ן תעש א כ 5רוס ? ליר = \ תק יא | 7 5 ו 69 7 3 ,"]5( / 6 אפ 5ו₪ 2 לירת9 0 | תת > תא ץ .9 1 | 13-55], ", 5רוס ? ליר = \ תק יא | 7 5 ו 69 7 3 ,"ו₪ 2 לירת9 0 | תת > תא ץ .9 1 | 13-55], ",,https://drive.google.com/file/d/1NTJiYyih4Z7a8vqjSndJrDXWKO8edRko,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM000160,"\CD00085 גורי, חיים - גורי, חיים\2104.tif",1KKurKt9W5Aj9nUrXyyZMAF8l2GbXd3VO,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2104.tif,"גורי,חייס",,6. התפמססהסו,"גורי,חייס
","869,26 1122,26 869,92 1122,92",,"514,502 845,502 514,566 845,566","869,26 1122,26 869,92 1122,92",TRUE,"גורי,חייס סל מי אהה,דגל? דבר.ה סיון תסלמ0900ו,90.6 עמל!. או ","גורי.חיים של מי אתה,דגל? דבר.ה סיון תשמט8.6.1989 עמ15. 14 ",",דגל? דבר.ה סיון תסלמ0900ו,90.6 עמל!. או ",",דגל? דבר.ה סיון תשמט8.6.1989 עמ15. 14 ",,https://drive.google.com/file/d/1KKurKt9W5Aj9nUrXyyZMAF8l2GbXd3VO,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000161,"\CD00085 גורי, חיים - גורי, חיים\2125.tif",1XHsRq2k1BlqvSnjMIohLXJNHvbrm7DwI,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2125.tif,,,"ור / ] וה , ת .| תס (ר!ת. כו2 , 7 5","0 3 :רומ אא 1 /.

| 15 א - | 5 - א
",,,"81,605 1210,605 81,859 1210,859","149,199 1184,199 149,552 1184,552",FALSE,"| 6|כי, פס | 7 ₪4 אא 1 /. | 15 / - | 5 - א 7 5 7 , 2 9 ",6 ופ + כ 0% (ת\ 1 / יו[ 64-ו 503-ו בל 7 | וסן / 9ב ₪ 0 | ק%\ ּ 7 5 ,,,,https://drive.google.com/file/d/1XHsRq2k1BlqvSnjMIohLXJNHvbrm7DwI,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM000162,"\CD00085 גורי, חיים - גורי, חיים\2114.tif",1hCxzh8IRRm8dkJHMxeB9WDVsLsg5uto2,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2114.tif,גורי חיים,|,"/ -ן(מה אומריסם"", חתום: סג \","רשלום על הירח
","874,58 1108,58 874,120 1108,120","874,58 1108,58 874,120 1108,120","99,289 594,289 99,386 594,386","610,307 902,307 610,364 902,364",TRUE,"גורי חיים -- רשלום על הירה (מה אומרים"", חתום: סג \ למרחב, ‏ 25.0.96, ע' 2 ","גורי, חיים השלום על הירח (מה אומרים?, חתום: הגי) . למרחב, 25.6.56, ע"" 2 ","רה (מה אומרים"", חתום: סג \ למרחב, ‏ 25.0.96, ע' 2 "," (מה אומרים?, חתום: הגי) . למרחב, 25.6.56, ע"" 2 ",,https://drive.google.com/file/d/1hCxzh8IRRm8dkJHMxeB9WDVsLsg5uto2,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000163,"\CD00085 גורי, חיים - גורי, חיים\2112.tif",1tOHJOXBmp3KW2sHx19doPRgcZJHBXTrz,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2112.tif,",, --%",,"(( 2/0215א * | כו""","=>|2; , וס
","667,662 1200,662 667,834 1200,834",,"506,246 1015,246 506,537 1015,537","436,13 1227,13 436,150 1227,150",TRUE,"=>|2; , וס (( 2/0215 א * | כו"" \מת\ + תא 2/0 4 ","/ ₪|2/ כ = \9 6 2 0 0/0 ו א כ["" | ג , פא > א 2/0 000 5% - ","215 א * | כו"" \מת\ + תא 2/0 4 "," 0 0/0 ו א כ["" | ג , פא > א 2/0 000 5% - ",,https://drive.google.com/file/d/1tOHJOXBmp3KW2sHx19doPRgcZJHBXTrz,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM000164,"\CD00085 גורי, חיים - גורי, חיים\2105.tif",1XQ8LDK1oaBqBt2JiTg-puHx71rxecccg,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2105.tif,"גורי,בחיים",,"גורי,בחיים","5
ו""
","794,0 1068,0 794,78 1068,78",,"794,0 1068,0 794,78 1068,78","850,532 1043,532 850,607 1043,607",TRUE,1 1 ,גורי.חיים של מי אתה צטם?! (חתום:ח-גי) דבר. ל השרי תשמ11.10.198860פמ7 ,, אתה צטם?! (חתום:ח-גי) דבר. ל השרי תשמ11.10.198860פמ7 ,,https://drive.google.com/file/d/1XQ8LDK1oaBqBt2JiTg-puHx71rxecccg,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM000165,"\CD00085 גורי, חיים - גורי, חיים\2122.tif",16z5rRXrr71M_7YnLlETtqIE5Lon-vBB8,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2122.tif,"בורי, הייםב",=-2--------,"בורי, הייםב=-2--------",,"856,76 1147,76 856,157 1147,157","856,76 1147,76 856,157 1147,157","856,76 1147,76 856,157 1147,157",,TRUE,"גורי הייב יל נ ""ידו ₪3 - הלכו אלי דנבמה הנשברע ""][ ","גורי,. חיים טלושה כמו-שירים לפנות בוקר | [""ידו אשר בקשה לחתרומם...""] ‏ .-- ""כאשר הלילה מלא מלים המבקשות מלים שהלכו לאבוד...""] ‏ .-- [""כעת באה אלי דסמה דקה מאד...""] [מתוך ""הספר המשבע""] ספר עלים, לזכרו של יחיטל מר, תשל""א, עמ 85-84 "," - הלכו אלי דנבמה הנשברע ""][ ","שירים לפנות בוקר | [""ידו אשר בקשה לחתרומם...""] ‏ .-- ""כאשר הלילה מלא מלים המבקשות מלים שהלכו לאבוד...""] ‏ .-- [""כעת באה אלי דסמה דקה מאד...""] [מתוך ""הספר המשבע""] ספר עלים, לזכרו של יחיטל מר, תשל""א, עמ 85-84 ",,https://drive.google.com/file/d/16z5rRXrr71M_7YnLlETtqIE5Lon-vBB8,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000166,"\CD00085 גורי, חיים - גורי, חיים\2119.tif",18AduhCrl1e8q4MJWzRsKY-i-BAUM-Rtz,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2119.tif,"גורי,חיים",כרון,"גורי,חייםכרוןהעורביםהמהנהעירים",,"226,0 1196,0 226,752 1196,752","226,0 1196,0 226,752 1196,752","226,0 1196,0 226,752 1196,752",,TRUE,"גורי,חיים כרון העורבים המהנה כורי-ם ","גורי,תיים שלוטה ואהד טסיכון מקצועי זכרון העורבים המתנה שירים דבר,מטא,יד תשרי תשמד,21.9,1985עמ 20 ",ן העורבים המהנה כורי-ם ,"טה ואהד טסיכון מקצועי זכרון העורבים המתנה שירים דבר,מטא,יד תשרי תשמד,21.9,1985עמ 20 ",,https://drive.google.com/file/d/18AduhCrl1e8q4MJWzRsKY-i-BAUM-Rtz,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000167,"\CD00085 גורי, חיים - גורי, חיים\2117.tif",1mRWhn6rZ2hXgVi8lugJXDzvOXOlEflcA,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2117.tif,"גורי,היים",7-Jan,"לנרחב, סכבא,15.2.19""9,.כ.","וכריפ,ח וס:דגי |
","801,98 1034,98 801,163 1034,163","801,98 1034,98 801,163 1034,163","597,604 1141,604 597,668 1141,668","298,406 658,406 298,466 658,466",TRUE,"גורי, הייפם קלוש קלירות (כר ‏ וכריפ,ו וס:רגי | לנרחב, בטא,1099.ה.19,.כ. 2 ","גורי,היים שלוש שיהות [(מה אומרים,התום:הגי| למרחב, משא,15.5.1958,עמ. 8 "," וכריפ,ו וס:רגי | לנרחב, בטא,1099.ה.19,.כ. 2 ","רים,התום:הגי| למרחב, משא,15.5.1958,עמ. 8 ",,https://drive.google.com/file/d/1mRWhn6rZ2hXgVi8lugJXDzvOXOlEflcA,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000168,"\CD00085 גורי, חיים - גורי, חיים\2113.tif",1I9uKODmS2VcOn04NlMj07AnVfZ5hAb7x,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2113.tif,יים,"גורי, ח","""שלום לכסיו !""חתום: חגי|","[(מאמו, מדוו: מה אומרים],
","898,81 1196,81 898,167 1196,167","898,81 1196,81 898,167 1196,167","696,221 1086,221 696,378 1086,378","38,216 683,216 38,310 683,310",TRUE,"גורי חיים : מה אופריםז ""סלום עכסיו !"" [מאמו, מדוו: מה א , חתום: חגין למוחב, 5.3.71,עמ' 2 ","בורי, חיים ""שלום עכשיו !"" [מאמר, מדור: מה אומרים+, חתום: חגי] למרחב, 5.5.71,עמ' 2 ",""" [מאמו, מדוו: מה א , חתום: חגין למוחב, 5.3.71,עמ' 2 ","ר: מה אומרים+, חתום: חגי] למרחב, 5.5.71,עמ' 2 ",,https://drive.google.com/file/d/1I9uKODmS2VcOn04NlMj07AnVfZ5hAb7x,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000169,"\CD00085 גורי, חיים - גורי, חיים\2096.tif",1IfPRknC52cQ5toQmgoOTkK5h2eVcXSsB,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2096.tif,ל] 4רת ב 694,,ש'כי | /))/יג 9 ל- / 2657-ל 3 0%(/0/00 / 7 0 6 חור/ 3 2 6 ף צן--7,"ל] 4רת ב 694
","939,562 1252,562 939,662 1252,662",,"58,268 868,268 58,675 868,675","939,562 1252,562 939,662 1252,662",TRUE,"/ר' רנ כ 0% /, )רה 0% . מעכ'י 7 3 - / 052 / - /. / ע[ - 9 י /- / פינ2 / / 7 0 ₪0 ד רז | -|רי . / [נרתב, 09% -(, 6 9 לכ )6 5 + \ 0 | ","(/ ל --- 7 ור = ק' . | תפָיכ//0 , . 7 7 = 7-ל 3 פ (פסש/ ]| (708. - 96 5 ג 8 3 \( 6 ₪ ₪ 66 ו ","עכ'י 7 3 - / 052 / - /. / ע[ - 9 י /- / פינ2 / / 7 0 ₪0 ד רז | -|רי . / [נרתב, 09% -(, 6 9 לכ )6 5 + \ 0 | ","ָיכ//0 , . 7 7 = 7-ל 3 פ (פסש/ ]| (708. - 96 5 ג 8 3 \( 6 ₪ ₪ 66 ו ",,https://drive.google.com/file/d/1IfPRknC52cQ5toQmgoOTkK5h2eVcXSsB,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM000170,"\CD00085 גורי, חיים - גורי, חיים\2108.tif",1eDbJ83HZ2eTvetwrGBmzkYGtEJqVYqmZ,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2108.tif,"גורי, חיים",#NAME?,"למרחב, 1.11.1957, עם"" 2","שלום, דוקסור, דרן צלחה
","1005,95 1275,95 1005,160 1275,160","1005,95 1275,95 1005,160 1275,160","373,637 869,637 373,835 869,835","558,330 1034,330 558,392 1034,392",TRUE,"גורי, חיים שלום, דוקסור, דרך צלחה | (מה אומרים?) למרחב, 1.11.1957, עם"" 2 ","גורי, תיים שלום, דוקטור, דרך צלחה | (מה אומרים?) למרחב, 1.11.1957, עמ"" 2 "," אומרים?) למרחב, 1.11.1957, עם"" 2 "," אומרים?) למרחב, 1.11.1957, עמ"" 2 ",,https://drive.google.com/file/d/1eDbJ83HZ2eTvetwrGBmzkYGtEJqVYqmZ,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000171,"\CD00085 גורי, חיים - גורי, חיים\2095.tif",1ShFlk4FUyDdCWxyxlk6W46bP_akYoYIn,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2095.tif,. חייס,גורי,"דבר, י אלול תס""מ,(7,)22,8,80מ27","סירים וטערים
","846,73 1074,73 846,137 1074,137","846,73 1074,73 846,137 1074,137","353,408 1009,408 353,475 1009,475","641,211 913,211 641,264 913,264",TRUE,"גורי, חייס סירים וטערים החתום תה-גי דבר, י אלול תס""מ,(7,)22,8,80מ27 ","גורי, חיים שירים ושעריםט חתום ת-גי דבר, י אלול תש""מ,(22,8.80),עמ""2 "," החתום תה-גי דבר, י אלול תס""מ,(7,)22,8,80מ27 ","ט חתום ת-גי דבר, י אלול תש""מ,(22,8.80),עמ""2 ",,https://drive.google.com/file/d/1ShFlk4FUyDdCWxyxlk6W46bP_akYoYIn,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000172,"\CD00085 גורי, חיים - גורי, חיים\2110.tif",1Oz2pqR9gYjRJGcNkUEFOc7DkHaychY6_,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2110.tif,גורי חיים,1,"דבר,רבר הסבוץ, כ' סבת תסל""ח,(30,12.77),ע5* 5/4","שלום לך קהיר
","965,153 1221,153 965,217 1221,217","965,153 1221,153 965,217 1221,217","272,486 1234,486 272,554 1234,554","764,286 1034,286 764,346 1034,346",TRUE,"גורי חיים שלום לך קהיר דבר,רבר הסבוץ, כ' סבת תסל""ח,(30,12.77),ע5* 5/4 ","גורי, חיים שלום לך קהיר דבר,דבר השבוע, כב"" טבת תשל""ח,(30.12,77),עמ"" 5/4 ","דבר,רבר הסבוץ, כ' סבת תסל""ח,(30,12.77),ע5* 5/4 "," דבר,דבר השבוע, כב"" טבת תשל""ח,(30.12,77),עמ"" 5/4 ",,https://drive.google.com/file/d/1Oz2pqR9gYjRJGcNkUEFOc7DkHaychY6_,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000173,"\CD00085 גורי, חיים - גורי, חיים\2124.tif",1gyeofdil0_rQWcc939IrLtM7XgjZG4oU,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2124.tif,"גורי, היים",ו,"גורי, הייםו","""ה,
תש
","856,30 1078,30 856,76 1078,76","856,30 1078,30 856,76 1078,76","856,30 1078,30 856,76 1078,76","291,554 404,554 291,600 404,600",TRUE,"גורי, היים שלושה שירים מתוך יומן לילי עתים, גל' 2, שנה שניה, ס' בחסון תש""ה, 23.10.47 עם' 3 ","גורי, חיים שלושה שירים מתוך יומן ליל* עתים, גל"" 3, שנה שניה, ט"" בחשון תש""ה, 23.10.47 עמ"" 3 ","ירים מתוך יומן לילי עתים, גל' 2, שנה שניה, ס' בחסון תש""ה, 23.10.47 עם' 3 ","ירים מתוך יומן ליל* עתים, גל"" 3, שנה שניה, ט"" בחשון תש""ה, 23.10.47 עמ"" 3 ",,https://drive.google.com/file/d/1gyeofdil0_rQWcc939IrLtM7XgjZG4oU,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000174,"\CD00085 גורי, חיים - גורי, חיים\2120.tif",1PP8ty-OVr4Uy82c_V6eaMqd6XsXyuAyx,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2120.tif,[נגר,,"קלכרחב,79.7.1079,.מ","פוכרים,רכוק
","679,429 758,429 679,479 758,479",,"749,605 1192,605 749,661 1192,661","401,428 665,428 401,479 665,479",TRUE,"חון ₪ ו ר + ויה בסיר ""סלוטשטה וס רגין וכררים,רכו: [כר מו 5ל,מ. 41 הב,10-9,. כר לג ","בורי, חיים ""שלושה בסירה אחת"" [מה אומרים,התום:הבי| למרחב,28.7.1958,עמ. 8 ","בסיר ""סלוטשטה וס רגין וכררים,רכו: [כר מו 5ל,מ. 41 הב,10-9,. כר לג ","ה בסירה אחת"" [מה אומרים,התום:הבי| למרחב,28.7.1958,עמ. 8 ",,https://drive.google.com/file/d/1PP8ty-OVr4Uy82c_V6eaMqd6XsXyuAyx,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000175,"\CD00085 גורי, חיים - גורי, חיים\2128.tif",11I1rzW_KKFG9tTgqe1rdm-KEoRQvmleE,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2128.tif,"גורי, חייס",,"דבר, כב כסלו תשל""ח,(2.12.77), עמ"" 2","סלוסים טגה

\ חתוסיחגור /
","913,75 1140,75 913,139 1140,139",,"486,547 1221,547 486,613 1221,613","462,207 981,207 462,373 981,373",TRUE,"גורי, חייס סלוסים טגה \ חתוסיחגור / דבר, כב כסלו תשל""ח,(2.12.77), עמ"" 2 ","גורי, חייס שלוטים ענה | חתוסםיתחגור / דבר, כב כסלו תשל""ח, (2.12.77), עמ"" 2 ","דבר, כב כסלו תשל""ח,(2.12.77), עמ"" 2 ","/ דבר, כב כסלו תשל""ח, (2.12.77), עמ"" 2 ",,https://drive.google.com/file/d/11I1rzW_KKFG9tTgqe1rdm-KEoRQvmleE,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000176,"\CD00085 גורי, חיים - גורי, חיים\2109.tif",1e0N_2DSwSkvXDISmunMxG5qqoDuy9W89,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2109.tif,"שלום כתה א """,ההום. ח-גין,"שלום כתה א ""ההום. ח-גין","[(מדוו. מה אומרים:
","725,280 1072,280 725,436 1072,436","725,280 1072,280 725,436 1072,436","725,280 1072,280 725,436 1072,436","243,280 711,280 243,364 711,364",TRUE,"דבר שלום כתה א ו"" ההום. ח-גין [מדוו. מה אומרים+ ","גורי חיים ""שלום כתה א "" [מדור: מה אומרים+ חתום: ח-גי] דבר, 53.9.71,עמ -2 ",מרים+ ,"חתום: ח-גי] דבר, 53.9.71,עמ -2 ",,https://drive.google.com/file/d/1e0N_2DSwSkvXDISmunMxG5qqoDuy9W89,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM000177,"\CD00085 גורי, חיים - גורי, חיים\2103.tif",1izcd1LrWZrWQTjwr5UORY5o-ILhzZURa,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2103.tif,"גורי,דריים",,"לכרהב,09.2,1057ן,ככ.","""כפכר-ליכוד""
","934,146 1160,146 934,202 1160,202",,"827,636 1269,636 827,692 1269,692","499,395 766,395 499,441 766,441",TRUE,"גורי,דריים ""כפכר-ליכוד"" [כר אוכרים,ד וס!דגי]| לכרהב,10.2.10997,כב. 2 ","גוריל, היים ""סבר-לימוד"" | מה אורמרים,חתום:הגי| למרחב,19.8.1957,עמ. 2 "," [כר אוכרים,ד וס!דגי]| לכרהב,10.2.10997,כב. 2 "," | מה אורמרים,חתום:הגי| למרחב,19.8.1957,עמ. 2 ",,https://drive.google.com/file/d/1izcd1LrWZrWQTjwr5UORY5o-ILhzZURa,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
